permid,isin,issuer_name,str_001_s,str_002_ec,str_003_ec,str_004_asec,str_005_ec,cs_001_sec,gp_esccp,cs_003_sec,cs_002_ec,str_006_sec,str_007_sect,gp_esccp_22,gp_esccp_25,gp_esccp_30,art_8_basicos,str_003b_ec,new_exclusion,exclusion_list
4295870485,GRS233003003,Athena SA,,,,OK,,OK,,,,,OK,,,,,,False,[]
5037039634,HK0000201050,Sure Best Management Ltd,OK,,,,,,,,,,,,,,,,False,[]
4295870587,GRS359353000,Athens Water Supply and Sewerage Company SA,,,,OK,,OK,,,,,OK,,,,,,False,[]
5044022391,HK0000231891,Oriental University City Holdings HK Ltd,OK,,,,,,,,,,,,,,,,False,[]
5050923248,GB00BD0SFR60,Motorpoint Group PLC,,,,OK,,OK,,,,,OK,,,,,,False,[]
5059969760,GB00BD3HV384,Sumo Group Ltd,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4295894774,GB0002615069,Delta Ltd,,,,,,,,OK,,,,,,,,,False,[]
5001219158,GB00B60BWY28,Hummingbird Resources PLC,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
4298096886,GB00B8HWGJ55,Impellam Group PLC,,,,OK,,OK,,,,,OK,,,,,,False,[]
5046394371,GB00BV9G0J47,Queros Capital Partners Ltd,,,,OK,,OK,,,,,OK,,,,,,False,[]
5040944178,GG00BTL27395,NYX Gaming Group Ltd,,,,EXCLUDED,,EXCLUDED,,,,,EXCLUDED,,,,,,True,"['str_004_asec', 'cs_001_sec', 'str_007_sect']"
5037352397,GG00B4TM3943,Bushveld Minerals Ltd,,,,,,OK,,,,,,,,,,,False,[]
5046279807,US8357871024,Sophos Group Ltd,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
5046959348,GG00BK8LQN98,Regional REIT Ltd,OK,,,OK,,OK,,,,OK,OK,,,,,,False,[]
5046664318,GB00BYV81293,Shield Therapeutics PLC,OK,,,,,,,,,,,,,,,,False,[]
5046705266,GB00BYRJH519,Hastings Group Holdings Ltd,,,,,,,,,,EXCLUDED,,,,,,,True,['str_006_sec']
5047644500,GB00BRKD9Z53,MJ Gleeson PLC,,,,,,,,OK,,,,,,,,,False,[]
4298125360,GB00BJTNFH41,AO World plc,,,,,,,,OK,,,,,,,,,False,[]
4295896270,GB00BP25RZ14,Cyprotex Ltd,EXCLUDED,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295874838,IE00BLP58571,Irish Continental Group PLC,,,,,,,,OK,,,,,,,,,False,[]
4295872010,HK0405033157,Yuexiu Real Estate Investment Trust,,,,OK,,OK,,,,OK,OK,,,,,,False,[]
4297416492,HRHBASRA0001,Hoteli Baska dd,,,,,,,,,,OK,,,,,,,False,[]
4296413323,HRHRBCRA0000,Rabac dd,,,,,,,,,,OK,,,,,,,False,[]
4297301526,HRVLHORA0008,Valamar Grupa dd,,,,,,,,,,OK,,,,,,,False,[]
4295871666,HK0060028229,Hong Kong Food Investment Holdings Ltd,OK,,,OK,,OK,,,,,OK,,,,,,False,[]
4296363109,XS0208620509,Mazda Credit Inc,,,,,,,,OK,,,,,,,,,False,[]
5057991340,CA68634K1066,Orla Mining Ltd,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5040240979,US75524W1080,Re/Max Holdings Inc,,,,OK,,OK,,OK,,,OK,,,,,,False,[]
5000089636,GRS430003004,Rainbow Computer Sa,EXCLUDED,,,EXCLUDED,,EXCLUDED,,EXCLUDED,,,EXCLUDED,,,,,,True,"['str_001_s', 'str_004_asec', 'cs_001_sec', 'cs_003_sec', 'str_007_sect']"
4295992807,US378272BK30,Glencore Funding Inc,EXCLUDED,,EXCLUDED,,,,,FLAG,,EXCLUDED,,,,,EXCLUDED,,True,"['str_001_s', 'str_003_ec', 'str_006_sec', 'art_8_basicos']"
